角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	冒险等级要求
49	2		40000	104112	3	113024	2	101205	10	112008	15	50	1	1160.4725	7	70.2000	4	36.8638	20	0.0480	25
49	3		60000	104112	6	113024	4	101205	20	112009	12	60	1	1803.1959	7	109.0800	4	57.2806	20	0.0960	30
49	4		80000	104113	3	113024	8	101205	30	112009	18	70	1	2285.2383	7	138.2400	4	72.5933	20	0.0960	35
49	5		100000	104113	6	113024	12	101205	45	112010	12	80	1	2767.2808	7	167.4000	4	87.9059	20	0.1440	40
49	6		120000	104114	6	113024	20	101205	60	112010	24	90	1	3249.3232	7	196.5600	4	103.2186	20	0.1920	50
50	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
50	1		20000	104111	1	0	0	101209	3	112035	3	40	1	647.0968	7	47.0250	4	12.6386	6	0	15
50	2		40000	104112	3	113024	2	101209	10	112035	15	50	1	1106.8762	7	80.4375	4	21.6187	6	0.0600	25
50	3		60000	104112	6	113024	4	101209	20	112036	12	60	1	1719.9153	7	124.9875	4	33.5921	6	0.1200	30
50	4		80000	104113	3	113024	8	101209	30	112036	18	70	1	2179.6946	7	158.4000	4	42.5722	6	0.1200	35
50	5		100000	104113	6	113024	12	101209	45	112037	12	80	1	2639.4739	7	191.8125	4	51.5522	6	0.1800	40
50	6		120000	104114	6	113024	20	101209	60	112037	24	90	1	3099.2532	7	225.2250	4	60.5323	6	0.2400	50
51	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
51	1		20000	104161	1	0	0	100057	3	112005	3	40	1	882.7766	7	50.1201	4	22.8282	22	0	15
51	2		40000	104162	3	113020	2	100057	10	112005	15	50	1	1510.0126	7	85.7318	4	39.0483	22	0.0960	25
51	3		60000	104162	6	113020	4	100057	20	112006	12	60	1	2346.3271	7	133.2139	4	60.6750	22	0.1920	30
51	4		80000	104163	3	113020	8	100057	30	112006	18	70	1	2973.5632	7	168.8256	4	76.8951	22	0.1920	35
51	5		100000	104163	6	113020	12	100057	45	112007	12	80	1	3600.7991	7	204.4373	4	93.1152	22	0.2880	40
51	6		120000	104164	6	113020	20	100057	60	112007	24	90	1	4228.0352	7	240.0489	4	109.3352	22	0.3840	50
52	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
52	1		20000	104141	1	0	0	101208	3	112044	3	40	1	861.5245	7	52.6851	4	22.5090	23	0	15
52	2		40000	104142	3	113029	2	101208	10	112044	15	50	1	1473.6604	7	90.1192	4	38.5022	23	0.0800	25
52	3		60000	104142	6	113029	4	101208	20	112045	12	60	1	2289.8416	7	140.0314	4	59.8264	23	0.1600	30
52	4		80000	104143	3	113029	8	101208	30	112045	18	70	1	2901.9773	7	177.4656	4	75.8196	23	0.1600	35
52	5		100000	104143	6	113029	12	101208	45	112046	12	80	1	3514.1133	7	214.8997	4	91.8129	23	0.2400	40
52	6		120000	104144	6	113029	20	101208	60	112046	24	90	1	4126.2490	7	252.3339	4	107.8061	23	0.3200	50
53	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
53	1		20000	104151	1	0	0	101203	3	112038	3	40	1	742.4585	7	46.6403	4	15.2994	28	0	15
53	2		40000	104152	3	113022	2	101203	10	112038	15	50	1	1269.9948	7	79.7794	4	26.1700	28	24.0000	25
53	3		60000	104152	6	113022	4	101203	20	112039	12	60	1	1973.3765	7	123.9649	4	40.6641	28	48.0000	30
53	4		80000	104153	3	113022	8	101203	30	112039	18	70	1	2500.9128	7	157.1040	4	51.5347	28	48.0000	35
53	5		100000	104153	6	113022	12	101203	45	112040	12	80	1	3028.4490	7	190.2431	4	62.4053	28	72.0000	40
53	6		120000	104154	6	113022	20	101203	60	112040	24	90	1	3555.9854	7	223.3822	4	73.2759	28	96.0000	50
54	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	42	0	0
54	1		20000	104121	1	0	0	101207	3	112053	3	40	1	899.1243	7	43.8615	4	15.6445	42	0	15
54	2		40000	104122	3	113028	2	101207	10	112053	15	50	1	1537.9757	7	75.0263	4	26.7604	42	0.0720	25
54	3		60000	104122	6	113028	4	101207	20	112054	12	60	1	2389.7776	7	116.5792	4	41.5815	42	0.1440	30
54	4		80000	104123	3	113028	8	101207	30	112054	18	70	1	3028.6292	7	147.7440	4	52.6973	42	0.1440	35
54	5		100000	104123	6	113028	12	101207	45	112055	12	80	1	3667.4805	7	178.9088	4	63.8132	42	0.2160	40
54	6		120000	104124	6	113028	20	101207	60	112055	24	90	1	4306.3320	7	210.0735	4	74.9290	42	0.2880	50
55	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
55	1		20000	104171	1	0	0	101207	3	112053	3	40	1	599.4160	7	40.6125	4	11.4413	45	0	15
55	2		40000	104172	3	113023	2	101207	10	112053	15	50	1	1025.3169	7	69.4688	4	19.5706	45	0.0600	25
55	3		60000	104172	6	113023	4	101207	20	112054	12	60	1	1593.1847	7	107.9437	4	30.4097	45	0.1200	30
55	4		80000	104173	3	113023	8	101207	30	112054	18	70	1	2019.0856	7	136.8000	4	38.5390	45	0.1200	35
55	5		100000	104173	6	113023	12	101207	45	112055	12	80	1	2444.9863	7	165.6562	4	46.6683	45	0.1800	40
55	6		120000	104174	6	113023	20	101207	60	112055	24	90	1	2870.8872	7	194.5125	4	54.7977	45	0.2400	50
56	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
56	1		20000	104141	1	0	0	101204	3	112005	3	40	1	599.4160	7	39.3300	4	12.2395	6	0	15
56	2		40000	104142	3	113029	2	101204	10	112005	15	50	1	1025.3169	7	67.2750	4	20.9360	6	0.0600	25
56	3		60000	104142	6	113029	4	101204	20	112006	12	60	1	1593.1847	7	104.5350	4	32.5313	6	0.1200	30
56	4		80000	104143	3	113029	8	101204	30	112006	18	70	1	2019.0856	7	132.4800	4	41.2278	6	0.1200	35
56	5		100000	104143	6	113029	12	101204	45	112007	12	80	1	2444.9863	7	160.4250	4	49.9243	6	0.1800	40
56	6		120000	104144	6	113029	20	101204	60	112007	24	90	1	2870.8872	7	188.3700	4	58.6207	6	0.2400	50
57	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
57	1		20000	104171	1	0	0	101201	3	112002	3	40	1	858.2550	7	64.0224	4	15.1656	20	0	15
57	2		40000	104172	3	113030	2	101201	10	112002	15	50	1	1468.0677	7	109.5120	4	25.9412	20	0.0480	25
57	3		60000	104172	6	113030	4	101201	20	112003	12	60	1	2281.1514	7	170.1648	4	40.3086	20	0.0960	30
57	4		80000	104173	3	113030	8	101201	30	112003	18	70	1	2890.9641	7	215.6544	4	51.0842	20	0.0960	35
57	5		100000	104173	6	113030	12	101201	45	112004	12	80	1	3500.7769	7	261.1440	4	61.8597	20	0.1440	40
57	6		120000	104174	6	113030	20	101201	60	112004	24	90	1	4110.5898	7	306.6336	4	72.6353	20	0.1920	50
58	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
58	1		20000	104141	1	0	0	101206	3	112044	3	40	1	692.3257	7	37.9620	4	22.6686	20	0	15
58	2		40000	104142	3	113031	2	101206	10	112044	15	50	1	1184.2413	7	64.9350	4	38.7752	20	0.0480	25
58	3		60000	104142	6	113031	4	101206	20	112045	12	60	1	1840.1288	7	100.8990	4	60.2507	20	0.0960	30
58	4		80000	104143	3	113031	8	101206	30	112045	18	70	1	2332.0444	7	127.8720	4	76.3574	20	0.0960	35
58	5		100000	104143	6	113031	12	101206	45	112046	12	80	1	2823.9600	7	154.8450	4	92.4640	20	0.1440	40
58	6		120000	104144	6	113031	20	101206	60	112046	24	90	1	3315.8757	7	181.8180	4	108.5706	20	0.1920	50
59	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	44	0	0
59	1		20000	104151	1	0	0	101201	3	112035	3	40	1	667.5315	7	42.8355	4	14.1020	44	0	15
59	2		40000	104152	3	113035	2	101201	10	112035	15	50	1	1141.8302	7	73.2712	4	24.1219	44	0.0600	25
59	3		60000	104152	6	113035	4	101201	20	112036	12	60	1	1774.2284	7	113.8522	4	37.4817	44	0.1200	30
59	4		80000	104153	3	113035	8	101201	30	112036	18	70	1	2248.5271	7	144.2880	4	47.5016	44	0.1200	35
59	5		100000	104153	6	113035	12	101201	45	112037	12	80	1	2722.8257	7	174.7238	4	57.5214	44	0.1800	40
59	6		120000	104154	6	113035	20	101201	60	112037	24	90	1	3197.1245	7	205.1595	4	67.5413	44	0.2400	50
60	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
60	1		20000	104121	1	0	0	100033	3	112032	3	40	1	964.5151	7	36.5769	4	16.2831	20	0	15
60	2		40000	104122	3	113035	2	100033	10	112032	15	50	1	1649.8285	7	62.5658	4	27.8526	20	0.0480	25
60	3		60000	104122	6	113035	4	100033	20	112033	12	60	1	2563.5796	7	97.2176	4	43.2787	20	0.0960	30
60	4		80000	104123	3	113035	8	100033	30	112033	18	70	1	3248.8931	7	123.2064	4	54.8483	20	0.0960	35
60	5		100000	104123	6	113035	12	100033	45	112034	12	80	1	3934.2065	7	149.1953	4	66.4178	20	0.1440	40
60	6		120000	104124	6	113035	20	100033	60	112034	24	90	1	4619.5200	7	175.1841	4	77.9874	20	0.1920	50
62	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	46	0	0
62	1		20000	104161	1	0	0	101203	3	112053	3	40	1	727.4733	7	45.1440	4	15.6126	46	0	15
62	2		40000	104162	3	113020	2	101203	10	112053	15	50	1	1244.3622	7	77.2200	4	26.7058	46	0.0720	25
62	3		60000	104162	6	113020	4	101203	20	112054	12	60	1	1933.5474	7	119.9880	4	41.4966	46	0.1440	30
62	4		80000	104163	3	113020	8	101203	30	112054	18	70	1	2450.4363	7	152.0640	4	52.5898	46	0.1440	35
62	5		100000	104163	6	113020	12	101203	45	112055	12	80	1	2967.3252	7	184.1400	4	63.6830	46	0.2160	40
62	6		120000	104164	6	113020	20	101203	60	112055	24	90	1	3484.2141	7	216.2160	4	74.7761	46	0.2880	50
63	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
63	1		20000	104161	1	0	0	100031	3	112038	3	40	1	867.2462	7	55.4040	4	20.2740	6	0	15
63	2		40000	104162	3	113031	2	100031	10	112038	15	50	1	1483.4475	7	94.7700	4	34.6793	6	0.0720	25
63	3		60000	104162	6	113031	4	100031	20	112039	12	60	1	2305.0491	7	147.2580	4	53.8862	6	0.1440	30
63	4		80000	104163	3	113031	8	100031	30	112039	18	70	1	2921.2505	7	186.6240	4	68.2915	6	0.1440	35
63	5		100000	104163	6	113031	12	100031	45	112040	12	80	1	3537.4517	7	225.9900	4	82.6967	6	0.2160	40
63	6		120000	104164	6	113031	20	100031	60	112040	24	90	1	4153.6528	7	265.3560	4	97.1019	6	0.2880	50
64	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
64	1		20000	104171	1	0	0	100030	3	112005	3	40	1	667.5315	7	45.9990	4	11.9734	23	0	15
64	2		40000	104172	3	113030	2	100030	10	112005	15	50	1	1141.8302	7	78.6825	4	20.4809	23	0.0667	25
64	3		60000	104172	6	113030	4	100030	20	112006	12	60	1	1774.2284	7	122.2605	4	31.8241	23	0.1333	30
64	4		80000	104173	3	113030	8	100030	30	112006	18	70	1	2248.5271	7	154.9440	4	40.3315	23	0.1333	35
64	5		100000	104173	6	113030	12	100030	45	112007	12	80	1	2722.8257	7	187.6275	4	48.8390	23	0.2000	40
64	6		120000	104174	6	113030	20	100030	60	112007	24	90	1	3197.1245	7	220.3110	4	57.3464	23	0.2667	50
65	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
65	1		20000	104141	1	0	0	101205	3	112053	3	40	1	769.7047	7	47.0250	4	13.3038	3	0	15
65	2		40000	104142	3	113035	2	101205	10	112053	15	50	1	1316.6001	7	80.4375	4	22.7565	3	0.0600	25
65	3		60000	104142	6	113035	4	101205	20	112054	12	60	1	2045.7939	7	124.9875	4	35.3601	3	0.1200	30
65	4		80000	104143	3	113035	8	101205	30	112054	18	70	1	2592.6895	7	158.4000	4	44.8128	3	0.1200	35
65	5		100000	104143	6	113035	12	101205	45	112055	12	80	1	3139.5847	7	191.8125	4	54.2655	3	0.1800	40
65	6		120000	104144	6	113035	20	101205	60	112055	24	90	1	3686.4802	7	225.2250	4	63.7182	3	0.2400	50
66	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
66	1		20000	104121	1	0	0	101202	3	112044	3	40	1	915.4720	7	51.3000	4	19.9548	22	0	15
66	2		40000	104122	3	113028	2	101202	10	112044	15	50	1	1565.9390	7	87.7500	4	34.1331	22	0.0960	25
66	3		60000	104122	6	113028	4	101202	20	112045	12	60	1	2433.2283	7	136.3500	4	53.0376	22	0.1920	30
66	4		80000	104123	3	113028	8	101202	30	112045	18	70	1	3083.6951	7	172.8000	4	67.2160	22	0.1920	35
66	5		100000	104123	6	113028	12	101202	45	112046	12	80	1	3734.1621	7	209.2500	4	81.3944	22	0.2880	40
66	6		120000	104124	6	113028	20	101202	60	112046	24	90	1	4384.6289	7	245.7000	4	95.5727	22	0.3840	50
67	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
67	1		20000	104131	1	0	0	101213	3	112011	3	40	1	613.0391	7	37.6200	4	12.5056	6	0	15
67	2		40000	104132	3	113036	2	101213	10	112011	15	50	1	1048.6195	7	64.3500	4	21.3911	6	0.0600	25
67	3		60000	104132	6	113036	4	101213	20	112012	12	60	1	1629.3934	7	99.9900	4	33.2385	6	0.1200	30
67	4		80000	104133	3	113036	8	101213	30	112012	18	70	1	2064.9739	7	126.7200	4	42.1240	6	0.1200	35
67	5		100000	104133	6	113036	12	101213	45	112013	12	80	1	2500.5542	7	153.4500	4	51.0096	6	0.1800	40
67	6		120000	104134	6	113036	20	101213	60	112013	24	90	1	2936.1348	7	180.1800	4	59.8951	6	0.2400	50
68	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
68	1		20000	104141	1	0	0	101217	3	112065	3	40	1	776.5162	7	45.3150	4	13.9690	3	0	15
68	2		40000	104142	3	113037	2	101217	10	112065	15	50	1	1328.2513	7	77.5125	4	23.8943	3	0.0600	25
68	3		60000	104142	6	113037	4	101217	20	112066	12	60	1	2063.8984	7	120.4425	4	37.1281	3	0.1200	30
68	4		80000	104143	3	113037	8	101217	30	112066	18	70	1	2615.6335	7	152.6400	4	47.0534	3	0.1200	35
68	5		100000	104143	6	113037	12	101217	45	112067	12	80	1	3167.3687	7	184.8375	4	56.9788	3	0.1800	40
68	6		120000	104144	6	113037	20	101217	60	112067	24	90	1	3719.1040	7	217.0350	4	66.9041	3	0.2400	50
69	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	43	0	0
69	1		20000	104131	1	0	0	101215	3	112059	3	40	1	724.2037	7	42.0660	4	17.8795	43	0	15
69	2		40000	104132	3	113036	2	101215	10	112059	15	50	1	1238.7695	7	71.9550	4	30.5833	43	0.0720	25
69	3		60000	104132	6	113036	4	101215	20	112060	12	60	1	1924.8573	7	111.8070	4	47.5217	43	0.1440	30
69	4		80000	104133	3	113036	8	101215	30	112060	18	70	1	2439.4231	7	141.6960	4	60.2255	43	0.1440	35
69	5		100000	104133	6	113036	12	101215	45	112061	12	80	1	2953.9890	7	171.5850	4	72.9294	43	0.2160	40
69	6		120000	104134	6	113036	20	101215	60	112061	24	90	1	3468.5547	7	201.4740	4	85.6332	43	0.2880	50
70	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
70	1		20000	104121	1	0	0	101214	3	112059	3	40	1	1013.5583	7	48.6324	4	15.3252	3	0	15
70	2		40000	104122	3	113038	2	101214	10	112059	15	50	1	1733.7181	7	83.1870	4	26.2142	3	0.0720	25
70	3		60000	104122	6	113038	4	101214	20	112060	12	60	1	2693.9312	7	129.2598	4	40.7329	3	0.1440	30
70	4		80000	104123	3	113038	8	101214	30	112060	18	70	1	3414.0911	7	163.8144	4	51.6219	3	0.1440	35
70	5		100000	104123	6	113038	12	101214	45	112061	12	80	1	4134.2510	7	198.3690	4	62.5109	3	0.2160	40
70	6		120000	104124	6	113038	20	101214	60	112061	24	90	1	4854.4106	7	232.9236	4	73.3999	3	0.2880	50
71	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
71	1		20000	104141	1	0	0	101225	3	112008	3	40	1	833.7334	7	57.3534	4	21.2319	22	0	15
71	2		40000	104142	3	113037	2	101225	10	112008	15	50	1	1426.1229	7	98.1045	4	36.3176	22	0.0960	25
71	3		60000	104142	6	113037	4	101225	20	112009	12	60	1	2215.9756	7	152.4393	4	56.4320	22	0.1920	30
71	4		80000	104143	3	113037	8	101225	30	112009	18	70	1	2808.3652	7	193.1904	4	71.5178	22	0.1920	35
71	5		100000	104143	6	113037	12	101225	45	112010	12	80	1	3400.7546	7	233.9415	4	86.6036	22	0.2880	40
71	6		120000	104144	6	113037	20	101225	60	112010	24	90	1	3993.1443	7	274.6926	4	101.6894	22	0.3840	50
72	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
72	1		20000	104121	1	0	0	101220	3	112065	3	40	1	681.1545	7	42.7500	4	13.3038	3	0	15
72	2		40000	104122	3	113039	2	101220	10	112065	15	50	1	1165.1328	7	73.1250	4	22.7565	3	0.0600	25
72	3		60000	104122	6	113039	4	101220	20	112066	12	60	1	1810.4371	7	113.6250	4	35.3601	3	0.1200	30
72	4		80000	104123	3	113039	8	101220	30	112066	18	70	1	2294.4153	7	144.0000	4	44.8128	3	0.1200	35
72	5		100000	104123	6	113039	12	101220	45	112067	12	80	1	2778.3936	7	174.3750	4	54.2655	3	0.1800	40
72	6		120000	104124	6	113039	20	101220	60	112067	24	90	1	3262.3718	7	204.7500	4	63.7182	3	0.2400	50
73	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
73	1		20000	104131	1	0	0	101217	3	112059	3	40	1	691.5083	7	42.0660	4	19.9548	28	0	15
73	2		40000	104132	3	113040	2	101217	10	112059	15	50	1	1182.8431	7	71.9550	4	34.1331	28	28.8000	25
73	3		60000	104132	6	113040	4	101217	20	112060	12	60	1	1837.9563	7	111.8070	4	53.0376	28	57.6000	30
73	4		80000	104133	3	113040	8	101217	30	112060	18	70	1	2329.2910	7	141.6960	4	67.2160	28	57.6000	35
73	5		100000	104133	6	113040	12	101217	45	112061	12	80	1	2820.6260	7	171.5850	4	81.3944	28	86.4000	40
73	6		120000	104134	6	113040	20	101217	60	112061	24	90	1	3311.9609	7	201.4740	4	95.5727	28	115.2000	50
74	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
74	1		20000	104161	1	0	0	101215	3	112008	3	40	1	694.7776	7	41.0400	4	13.5699	3	0	15
74	2		40000	104162	3	113038	2	101215	10	112008	15	50	1	1188.4354	7	70.2000	4	23.2116	3	0.0600	25
74	3		60000	104162	6	113038	4	101215	20	112009	12	60	1	1846.6459	7	109.0800	4	36.0673	3	0.1200	30
74	4		80000	104163	3	113038	8	101215	30	112009	18	70	1	2340.3037	7	138.2400	4	45.7091	3	0.1200	35
74	5		100000	104163	6	113038	12	101215	45	112010	12	80	1	2833.9614	7	167.4000	4	55.3508	3	0.1800	40
74	6		120000	104164	6	113038	20	101215	60	112010	24	90	1	3327.6194	7	196.5600	4	64.9926	3	0.2400	50
75	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
75	1		20000	104151	1	0	0	101213	3	112044	3	40	1	678.4301	7	40.5270	4	21.8704	20	0	15
75	2		40000	104152	3	113038	2	101213	10	112044	15	50	1	1160.4725	7	69.3225	4	37.4099	20	0.0480	25
75	3		60000	104152	6	113038	4	101213	20	112045	12	60	1	1803.1959	7	107.7165	4	58.1292	20	0.0960	30
75	4		80000	104153	3	113038	8	101213	30	112045	18	70	1	2285.2383	7	136.5120	4	73.6687	20	0.0960	35
75	5		100000	104153	6	113038	12	101213	45	112046	12	80	1	2767.2808	7	165.3075	4	89.2082	20	0.1440	40
75	6		120000	104154	6	113038	20	101213	60	112046	24	90	1	3249.3232	7	194.1030	4	104.7477	20	0.1920	50
76	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
76	1		20000	104151	1	0	0	101220	3	112065	3	40	1	599.4160	7	39.3300	4	12.3060	6	0	15
76	2		40000	104152	3	113039	2	101220	10	112065	15	50	1	1025.3169	7	67.2750	4	21.0498	6	0.0600	25
76	3		60000	104152	6	113039	4	101220	20	112066	12	60	1	1593.1847	7	104.5350	4	32.7081	6	0.1200	30
76	4		80000	104153	3	113039	8	101220	30	112066	18	70	1	2019.0856	7	132.4800	4	41.4518	6	0.1200	35
76	5		100000	104153	6	113039	12	101220	45	112067	12	80	1	2444.9863	7	160.4250	4	50.1956	6	0.1800	40
76	6		120000	104154	6	113039	20	101220	60	112067	24	90	1	2870.8872	7	188.3700	4	58.9393	6	0.2400	50
77	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
77	1		20000	104131	1	0	0	100027	3	112002	3	40	1	769.7047	7	47.0250	4	13.3038	3	0	15
77	2		40000	104132	3	113040	2	100027	10	112002	15	50	1	1316.6001	7	80.4375	4	22.7565	3	0.0600	25
77	3		60000	104132	6	113040	4	100027	20	112003	12	60	1	2045.7939	7	124.9875	4	35.3601	3	0.1200	30
77	4		80000	104133	3	113040	8	100027	30	112003	18	70	1	2592.6895	7	158.4000	4	44.8128	3	0.1200	35
77	5		100000	104133	6	113040	12	100027	45	112004	12	80	1	3139.5847	7	191.8125	4	54.2655	3	0.1800	40
77	6		120000	104134	6	113040	20	100027	60	112004	24	90	1	3686.4802	7	225.2250	4	63.7182	3	0.2400	50
78	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	43	0	0
78	1		20000	104131	1	0	0	101222	3	112065	3	40	1	890.9504	7	52.1721	4	20.9126	43	0	15
78	2		40000	104132	3	113044	2	101222	10	112065	15	50	1	1523.9941	7	89.2418	4	35.7715	43	0.0720	25
78	3		60000	104132	6	113044	4	101222	20	112066	12	60	1	2368.0525	7	138.6680	4	55.5834	43	0.1440	30
78	4		80000	104133	3	113044	8	101222	30	112066	18	70	1	3001.0962	7	175.7376	4	70.4424	43	0.1440	35
78	5		100000	104133	6	113044	12	101222	45	112067	12	80	1	3634.1399	7	212.8073	4	85.3013	43	0.2160	40
78	6		120000	104134	6	113044	20	101222	60	112067	24	90	1	4267.1836	7	249.8769	4	100.1602	43	0.2880	50
